Starting_point_id,Dropping_point_id,Weekday,Intercept,Power_0,Power_1,Power_2,Power_3,Power_4,Power_5,Power_6,Power_7
3,4,Sunday,34.04423309175438,9.294448188483046e-17,6.994110170983547e-11,1.1180810871247383e-11,2.1648373492747443e-09,-8.062294539535512e-12,1.1143057150593464e-14,-6.741444314592881e-18,1.5048526515692302e-21
3,4,Monday,51.62960306097786,-5.236936080365178e-24,1.4137437507078088e-17,-3.617980177393368e-18,-1.8059047925463542e-15,-5.427172770152734e-13,1.2302325023834511e-15,-9.197536006386583e-19,2.258553471160396e-22
3,4,Tuesday,30.744863315904247,1.5090372491795656e-16,-2.3973788888105976e-10,1.7951784661855768e-11,3.342102050369263e-09,-1.2015181200933439e-11,1.6085329088619232e-14,-9.46210587866176e-18,2.0610719986499475e-21
3,4,Wednesday,50.7225187935277,-1.0177074838166572e-23,-2.4916503945200882e-18,-7.224011357738492e-18,-3.697665436019086e-15,-1.1421666433079795e-12,2.760208704944424e-15,-2.2014712089955324e-18,5.794781015246519e-22
3,4,Thursday,31.188710744783492,8.851148648681732e-17,-2.775635984762386e-10,1.1934915479292952e-11,2.3751848925257453e-09,-8.733793237321091e-12,1.1978824090574917e-14,-7.188503070711336e-18,1.5881456116952014e-21
3,4,Friday,30.490564813568888,3.7684155294737614e-17,5.251579656394078e-11,5.5916094894621184e-12,1.0985919759048204e-09,-4.046801228738203e-12,5.504788019271903e-15,-3.265455232298744e-18,7.136196189774145e-22
3,5,Saturday,29.365286652886148,-1.0630168567425764e-24,-1.1953142251014934e-18,-7.896171753156079e-19,-4.0732118253032373e-16,-1.2588512750264652e-13,3.1932849132041686e-16,-2.546162156074109e-19,6.473215652033749e-23
3,5,Sunday,28.403396384590195,8.89688845773105e-17,6.694944472126741e-11,1.0702564901000103e-11,2.0722393016820607e-09,-7.563962354444681e-12,1.0249868071705791e-14,-6.096858078152365e-18,1.3425518573108703e-21
3,5,Monday,63.13934631285871,-1.1719206741909098e-23,-4.596025120090852e-17,-8.08955432555978e-18,-4.041627149745531e-15,-1.2146401978750197e-12,2.6949939702024968e-15,-2.015031144247823e-18,5.044702851224581e-22
3,5,Tuesday,24.34762750360069,2.352103583303493e-16,-3.7367423769158834e-10,2.798105890421322e-11,5.209263022616945e-09,-1.8364230251437465e-11,2.4105459406747034e-14,-1.3942303005087903e-17,2.9971329110697468e-21
3,5,Wednesday,41.0201158112633,-6.2926892058701874e-24,-1.5406373357708385e-18,-4.466750938781641e-18,-2.286340632580382e-15,-7.062245403887309e-13,1.6918460493886275e-15,-1.3464470658232076e-18,3.5509053879089573e-22
3,5,Thursday,33.75864255667655,1.2038007534760412e-16,-3.775004610723293e-10,1.6232085092561672e-11,3.2303706731888335e-09,-1.1977021632229194e-11,1.6364889027300257e-14,-9.767164325774436e-18,2.150685895709665e-21
3,5,Friday,23.93179336608887,7.190438185593747e-18,1.0020433848630135e-11,1.0669250777508143e-12,2.0962088748965388e-10,-5.21854076057533e-13,3.4355628654809563e-16,3.801234889133553e-20,-6.688350238257498e-23
3,8,Saturday,39.03021687830921,-3.3133255302943206e-24,-1.349473382534631e-17,-2.4629155388350484e-18,-1.2704752309190996e-15,-3.929374092168436e-13,9.938380292622888e-16,-8.100149993230686e-19,2.144589290344168e-22
3,8,Sunday,31.54573696482999,1.3145525388909024e-16,9.892061046861167e-11,1.5813487673551632e-11,3.0618202046725594e-09,-1.1231249887404887e-11,1.5338255919383255e-14,-9.197483709983567e-18,2.0402493711850497e-21
3,8,Monday,71.91162689756175,-1.6572985410210253e-23,-1.3063037448260542e-17,-1.1429410200509563e-17,-5.708304997016962e-15,-1.7150479053841982e-12,3.94952566157569e-15,-3.044821399531833e-18,7.821591475797516e-22
3,8,Tuesday,30.27909839500135,2.225561993077516e-16,-2.3001009808855054e-10,2.7128118185565508e-11,5.09603793981965e-09,-1.8229601980941146e-11,2.4277312841208118e-14,-1.4227670150897258e-17,3.0937310507994555e-21
3,8,Wednesday,50.10989172024161,-1.3218354626711461e-23,-2.078241174969997e-17,-9.377342157530148e-18,-4.796914411444311e-15,-1.4811130324993455e-12,3.644176103675068e-15,-2.95986847704185e-18,7.936942858578744e-22
3,8,Thursday,38.1402724556117,1.4656643503278517e-16,1.758848661434461e-11,1.9280316402999595e-11,3.801130390236166e-09,-1.4251352205869182e-11,1.976131475838784e-14,-1.1970937000299504e-17,2.672388171981668e-21
3,8,Friday,28.488790536415543,3.271234392499573e-17,4.5587191312790557e-11,4.853888188268188e-12,9.536510031563537e-10,-3.3898606560850756e-12,4.443273332942338e-15,-2.5243862916339396e-18,5.236221213317084e-22
