starting_point_id,dropping_point_id,pickup_time,dropoff_time,duration,pickup_time_sec,weekday
138,163,2019-01-02 12:49:54,2019-01-02 13:21:37,31,46194,Wednesday
138,163,2019-01-02 13:16:58,2019-01-02 13:47:06,30,47818,Wednesday
138,163,2019-01-02 13:52:29,2019-01-02 14:20:34,28,49949,Wednesday
138,163,2019-01-02 13:36:23,2019-01-02 14:08:08,31,48983,Wednesday
138,163,2019-01-02 13:18:37,2019-01-02 13:48:55,30,47917,Wednesday
138,163,2019-01-02 13:10:33,2019-01-02 13:45:46,35,47433,Wednesday
138,163,2019-01-02 13:34:27,2019-01-02 14:00:40,26,48867,Wednesday
138,163,2019-01-02 14:21:03,2019-01-02 14:48:41,27,51663,Wednesday
138,163,2019-01-02 14:32:11,2019-01-02 14:56:29,24,52331,Wednesday
138,163,2019-01-02 14:32:37,2019-01-02 15:01:38,29,52357,Wednesday
138,163,2019-01-02 14:18:15,2019-01-02 14:44:41,26,51495,Wednesday
138,163,2019-01-02 14:04:49,2019-01-02 14:38:20,33,50689,Wednesday
138,163,2019-01-02 14:39:36,2019-01-02 15:10:23,30,52776,Wednesday
138,163,2019-01-02 14:53:38,2019-01-02 15:24:06,30,53618,Wednesday
138,163,2019-01-02 14:33:05,2019-01-02 15:06:11,33,52385,Wednesday
138,163,2019-01-02 14:12:25,2019-01-02 14:55:58,43,51145,Wednesday
138,163,2019-01-02 15:01:49,2019-01-02 15:28:01,26,54109,Wednesday
138,163,2019-01-02 15:44:35,2019-01-02 16:17:30,32,56675,Wednesday
138,163,2019-01-02 15:24:33,2019-01-02 15:53:54,29,55473,Wednesday
138,163,2019-01-02 15:07:51,2019-01-02 15:34:00,26,54471,Wednesday
138,163,2019-01-02 15:40:26,2019-01-02 16:14:58,34,56426,Wednesday
138,163,2019-01-02 15:46:39,2019-01-02 16:19:14,32,56799,Wednesday
138,163,2019-01-01 23:02:33,2019-01-01 23:34:05,31,82953,Tuesday
138,163,2019-01-02 16:15:13,2019-01-02 16:40:18,25,58513,Wednesday
138,163,2019-01-02 16:13:59,2019-01-02 16:44:04,30,58439,Wednesday
138,163,2019-01-02 16:51:11,2019-01-02 17:20:08,28,60671,Wednesday
138,163,2019-01-02 16:47:28,2019-01-02 17:21:59,34,60448,Wednesday
138,163,2019-01-02 16:22:50,2019-01-02 16:54:30,31,58970,Wednesday
138,163,2019-01-02 16:04:30,2019-01-02 16:42:30,38,57870,Wednesday
138,163,2019-01-02 16:06:39,2019-01-02 16:40:11,33,57999,Wednesday
